id,location,city,distinct,province_id,people,GDPTotal,GDPPerson
370100,济南市,1,0,370000,746.04,7856.56,76267
370200,青岛市,1,0,370000,939.48,12001.52,106302
370300,淄博市,1,0,370000,470.18,506835,128459
370400,枣庄市,1,0,370000,392.73,2402.38,107720
370500,东营市,1,0,370000,217.21,4152.47,61226
370600,烟台市,1,0,370000,712.18,7832.58,191942
370700,潍坊市,1,0,370000,937.3,6156.78,110231
370800,济宁市,1,0,370000,834.59,4930.58,65721
370900,泰安市,1,0,370000,564,3651.53,58972
371000,威海市,1,0,370000,283,3641.48,64714
371100,日照市,1,0,370000,293.03,2202.17,128774
371300,临沂市,1,0,370000,1062.4,4717.8,73005
371400,德州市,1,0,370000,581,3380.3,44534
371500,聊城市,1,0,370000,607.45,3152.15,58252
371600,滨州市,1,0,370000,392.25,2640.52,51935
371700,菏泽市,1,0,370000,876.5,3078.78,67405
410100,郑州市,1,0,410000,1014,10143.23,101352
410200,开封市,1,0,410000,456,2002.23,43933
410300,洛阳市,1,0,410000,689,4640.78,67707
410400,平顶山市,1,0,410000,503,2135.23,42587
410500,安阳市,1,0,410000,518,2393.22,46443
410600,鹤壁市,1,0,410000,163,861.9,53084
410700,新乡市,1,0,410000,579,2526.55,43696
410800,焦作市,1,0,410000,359,2371.5,66329
410900,濮阳市,1,0,410000,361,1654.47,45644
411000,许昌市,1,0,410000,444,2830.62,63988
411100,漯河市,1,0,410000,267,1236.66,46532
411200,三门峡市,1,0,410000,227,1528.12,67275
411300,南阳市,1,0,410000,1001,3566.77,35555
411400,商丘市,1,0,410000,733,2389.04,32670
411500,信阳市,1,0,410000,647,2387.8,36951
411600,周口市,1,0,410000,868,2687.22,30821
411700,驻马店市,1,0,410000,704,2370.32,33733
420100,武汉市,1,0,420000,1108.1,14847.29,133988.72
420200,黄石市,1,0,420000,247.07,1587.33,64246.17
420300,十堰市,1,0,420000,340.6,1747.82,51315.91
