date,city,cityCode,confirmed,cured,dead
2020-01-22,三亚市,460200,2,0,0
2020-01-22,儋州市,460400,0,0,0
2020-01-22,五指山市,469001,0,0,0
2020-01-22,琼海市,469002,0,0,0
2020-01-22,文昌市,469005,0,0,0
2020-01-22,万宁市,469006,1,0,0
2020-01-22,东方市,469007,0,0,0
2020-01-22,临高县,469024,1,0,0
2020-01-22,昌江黎族自治县,469026,0,0,0
2020-01-22,琼中黎族苗族自治县,469030,0,0,0
2020-01-22,成都市,510100,2,0,0
2020-01-22,绵阳市,510700,2,0,0
2020-01-22,广安市,511600,1,0,0
2020-01-22,贵阳市,520100,1,0,0
2020-01-22,铜仁市,520600,1,0,0
2020-01-22,黔南布依族苗族自治州,522700,1,0,0
2020-01-22,西安市,610100,2,0,0
2020-01-22,咸阳市,610400,1,0,0
2020-01-22,延安市,610600,1,0,0
2020-01-22,银川市,640100,1,0,0
2020-01-23,石家庄市,130100,1,0,0
2020-01-23,沧州市,130900,1,0,1
2020-01-23,太原市,140100,1,0,0
2020-01-23,呼伦贝尔市,150700,1,0,0
2020-01-23,锡林郭勒盟,152500,0,0,0
