id,moveIn_index_mean,moveIn_index_max,moveIn_index_min,moveIn_index_mean_before,moveIn_index_max_before,moveIn_index_min_before,moveIn_index_mean_after,moveIn_index_max_after,moveIn_index_min_after,moveOut_index_mean,moveOut_index_max,moveOut_index_min,moveOut_index_mean_before,moveOut_index_max_before,moveOut_index_min_before,moveOut_index_mean_after,moveOut_index_max_after,moveOut_index_min_after,travel_index_mean,travel_index_max,travel_index_min,travel_index_mean_before,travel_index_max_before,travel_index_min_before,travel_index_mean_after,travel_index_max_after,travel_index_min_after
320600,0.9240206400000002,3.3400512,0.2032128,2.4757668000000006,3.3400512,1.3926492,0.5360841,1.2972636,0.2032128,0.9599061600000002,2.5774848,0.3080268,2.0653164,2.5774848,1.1823084,0.6835536000000002,1.5186852,0.3080268,3.5341577777777773,6.0038,2.0667,5.127988888888888,6.0038,3.355,3.1356999999999995,4.4082,2.0667
320700,0.6064876800000001,2.5674408,0.1188432,1.8958499999999998,2.5674408,1.0289592,0.2841471,1.2102372,0.1188432,0.5835520799999998,1.1677284,0.18387,0.9037980000000001,1.131732,0.5551092,0.5034906000000001,1.1677284,0.18387,3.12802,6.2805,1.5711,5.640544444444444,6.2805,3.9781,2.4998888888888895,4.5465,1.5711
320800,0.76246488,3.2602824,0.1170288,2.410056,3.2602824,1.4906916,0.35056709999999996,1.7397828,0.1170288,0.70317072,1.5669936,0.1926828,1.0638072,1.272024,0.784728,0.6130116,1.5669936,0.1926828,3.5094644444444447,6.3486,1.769,5.917477777777778,6.3486,4.5924,2.9074611111111115,4.8496,1.769
320900,1.0774677599999998,4.6180044,0.1887624,3.4050852,4.6180044,1.9627272,0.4955634000000002,2.41137,0.1887624,1.00371168,2.7049788,0.3287628,1.1994516000000002,1.4148756,0.9133236,0.9547767,2.7049788,0.3287628,4.129171111111111,6.1112,2.5829,5.794599999999999,6.1112,5.3585,3.7128138888888884,5.5045,2.5829
321000,0.6722020799999998,2.1775068,0.1238004,1.7719631999999998,2.1775068,1.118124,0.39726180000000005,1.2699504,0.1238004,0.6507028799999998,1.7222868,0.1711692,1.4414436,1.7222868,1.0441548,0.4530176999999999,1.2440952,0.1711692,3.392297777777779,6.1547,2.0357,5.252911111111112,6.1547,3.6876,2.927144444444445,4.2033,2.0357
321100,0.6061219200000001,1.6636104,0.1586952,1.2918707999999999,1.6636104,1.0394892,0.4346846999999999,1.0061496,0.1586952,0.6158584799999999,1.8520812,0.1786536,1.577988,1.8520812,1.0890936,0.3753260999999999,0.9856404,0.1786536,3.154717777777778,5.7561,1.7592,4.677711111111112,5.7561,3.2526,2.7739694444444445,4.308,1.7592
321200,0.7594488,2.7695196,0.118908,2.1736368,2.7695196,1.5133716,0.40590180000000003,1.4567688,0.118908,0.72682344,1.482786,0.2330856,1.2224664000000003,1.4200596,0.8174196,0.6029127000000001,1.482786,0.2330856,3.5591888888888903,6.2352,1.8165,5.615022222222223,6.2352,4.3828,3.0452305555555554,4.7388,1.8165
321300,0.7496251200000001,3.1741308,0.1209816,2.3283612000000007,3.1741308,1.241406,0.35494110000000006,1.4937048,0.1209816,0.6998018400000001,1.375704,0.2129004,1.0970928,1.375704,0.6248988,0.6004791,1.337148,0.2129004,3.8119711111111108,6.5725,2.0969,5.9304,6.5725,4.1585,3.282363888888889,4.6662,2.0969
330100,2.2347187199999996,4.4035488,0.433026,3.3102287999999995,4.4035488,1.6061004,1.9658412000000003,3.6823896,0.433026,2.5201677599999996,12.0841956,0.2471148,9.3307176,12.0841956,3.74058,0.8175303,2.6564112,0.2471148,2.2597222222222224,5.7533,0.8271,3.830811111111111,5.7533,1.8072,1.86695,3.8783,0.8271
330200,1.3009536000000002,2.4936984,0.3434076,1.4308020000000001,1.6081092,0.9231084,1.2684915000000003,2.4936984,0.3434076,1.4783191200000005,7.9488216,0.1301184,5.7765636,7.9488216,1.8309888,0.4037579999999999,1.2805776,0.1301184,2.4983488888888887,5.3566,0.9742,3.7246555555555556,5.3566,2.2184,2.1917722222222222,4.3705,0.9742
